id,question,answer,wrong1,wrong2,wrong3,source,difficulty
1093,Which type of plant flowers and dies in one growing season?,Annual,Biennial,Perennial,Triennial,uk,3
1094,A variety of which flower is a source of opium?,Poppy,Daffodil,Crocus,Nasturtium,uk,3
1095,Which Latin phrase means proportional?,Pro rata,In cognito,In flagrante delicto,Mea culpa,uk,3
1096,Edward 5th and his brother Richard are known as 'The Princes in the...'?,Tower,Tabloids,Palace,Drink,uk,3
1097,Which creature symbolises a secretly teacherous person?,Snake,Frog,Mouse,Lizard,uk,3
1098,Which of the following is a small antelope?,Gazelle,Gazebo,Gazette,Gazump,uk,3
1099,What did the Bangles tell you to walk like in 1986?,An Egyptian,A Libyan,A Tunisian,A Syrian,uk,3
1100,Which of these is an island off the coast of India?,Sri Lanka,Borneo,Tasmania,Cuba,uk,3
1101,Which country is in both Europe and Asia?,Turkey,Greece,Bulgaria,Romania,uk,3
1102,Which word is another way of describing a minor weakness or peculiarity?,Foible,Fable,Freebie,Fateful,uk,3
1103,"Which colour links 'army', 'tape' and 'flag'?",Red,Blue,Green,Yellow,uk,3
1104,Who was John Lennon's second wife?,Yoko Ono,Patti Boyd,Jane Asher,Marianne Faithful,uk,3
1105,Which pop group shares its name with a phase of sleeping?,REM,OMD,XTC,ELO,uk,3
1106,Which of these is best known as a Japanese war cry?,Banzai,Karaoke,Origami,Bonsai,uk,3
1107,"What, according to the proverb, are the 'windows of the soul'?",Eyes,Lungs,Tonsils,Palms,uk,3
1108,Which statuette was Humphrey Bogart seeking in the 1941 film of the same title?,Maltese Falcon,Chinese Condor,Japanese Jackdaw,Burmese Buzzard,uk,3
1109,Which small rodent is associated with a headlong rush to destruction?,Lemming,Squirrel,Gopher,Gerbil,uk,3
1110,What specific name is given to the scientific study of plants?,Botany,Zoology,Theology,Geology,uk,3
1111,Which tourist attraction has the heads of four US presidents carved into it?,Mount Rushmore,Mount Lushmore,Mount Hushmore,Mount Bushmore,uk,3
1112,Who is the headmaster of Hogwarts in the Harry Potter books?,Dumbledore,Gandalf,Merlin,Catweazel,uk,3
1113,"According to the saying, where is the grass always greener?",On the other side,Over there,Next door,Wales,uk,3
1114,What name is given to the physical components of a computer?,Hardware,Shareware,Software,Freeware,uk,3
1115,Which of these has a button keyboard and a piano keyboard?,Accordion,Saxophone,Guitar,Bagpipes,uk,3
1116,"Complete the title of the famous novel by Joseph Heller, Catch...'?",22,All,A cold,It,uk,3
1117,In which country is Rio de Janeiro?,Brazil,Colombia,Peru,Chile,uk,3
1118,Who is the Head of the Commonwealth?,The Queen,Prince Charles,Nelson Mandela,Tony Blair,uk,3
1119,A Kiwi is a native of which country?,New Zealand,Australia,South Africa,Canada,uk,3
1120,Bottle-nosed is a species of which mammal?,Dolphin,Camel,Elephant,Sea lion,uk,3
1121,"What goes before 'setter', 'terrier' and 'wolfhound' to make three breeds of dog?",Irish,Scottish,Welsh,English,uk,3
1122,Which German title was derived from the Latin for 'emperor'?,Kaiser,Graf,Herr,Count,uk,3
1123,What term applies to a volcano that has not erupted for a while but is not extinct?,Dormant,Sleeping,Idle,Indolent,uk,3
1124,Who is not one of Dorothy's companions in 'The Wizard of Oz'?,Paper Tiger,Scarecrow,Cowardly Lion,Tin Man,uk,3
1125,Which part of the body has layers called the dermis and the epidermis?,Skin,Brain,Liver,Heart,uk,3
1126,Which of these is not an arch-enemy of Batman?,Dog Face,The Riddler,Catwoman,The Penguin,uk,3
1127,"If you ordered escargot in a restaurant, what would you be eating?",Snails,Squid,Frog's legs,Prawns,uk,3
1128,Which ocean would you cross if you flew direct from Sydney to Los Angeles?,Pacific,Atlantic,Indian,Arctic,uk,3
1129,What is the name of Wallace's dog in the Nick Park animations?,Gromit,Widget,Gadget,Pellet,uk,3
1130,"What name is given to the 7,500 statues unearthed near Xian in China in 1974?",Terracotta army,Quartz battalion,Clay corps,Basalt bodyguard,uk,3
1131,"In the world of Harry Potter, what are 'Muggles'?",Ordinary people,Spells,Magic potions,Cats,uk,3
1132,Which of these is a seaside resort in Cornwall?,Bude,Nude,Rude,Dude,uk,4
1133,By what nickname was Martha Jane Cannary better known?,Calamity Jane,Disaster Doris,Debacle Debbie,Catastrophe Kate,uk,4
1134,Which of the following is a 1960 Lionel Bart musical?,Oliver!,Oscar!,Oswald!,Owen!,uk,4
1135,Which of these is a lake in Utah?,Great Salt Lake,Great Pepper Lake,Great Vinegar Lake,Great Mustard Lake,uk,4
1136,Which of these is an inlet on the east coast of England?,The Wash,The Rinse,The Spin,The Soap,uk,4
1137,Which of these would you find on the side of a ship?,Plimsoll line,Sandal line,Clog line,Trainer line,uk,4
1138,What is the fruit of the horse chestnut tree called?,Conker,Acorn,Nutmeg,Hip,uk,4
1139,What can somebody be said to have in the belfry if they are slightly eccentric?,Bats,Cats,Rats,Mats,uk,4
1140,Which fictional adventurer travelled around the world in eighty days?,Phileas Fogg,Philip Mist,Peter Lightdrizzle,Paul Pouringdown,uk,4
1141,Which animal is known as the King of the Beasts?,Lion,Crocodile,Elephant,Tiger,uk,4
1142,Emus are native to which country?,Australia,Argentina,Albania,Austria,uk,4
1143,To which profession does the adjective thespian relate?,Acting,Medical,Teaching,Accounting,uk,4
1144,Which of these is a type of gateau?,Black Forest,Blue Wood,Red Copse,Green Dale,uk,4
1145,Which city is known as 'Auld Reekie'?,Edinburgh,London,Paris,Rome,uk,4
1146,Who wrote 'Alice in Wonderland'?,Lewis Carroll,J R R Tolkien,J M Barrie,A A Milne,uk,4
1147,Which lightweight wood is traditionally used for model construction?,Balsa,Oak,Mahogany,Elm,uk,4
1148,"Educationally, the three Rs stand for reading, writing and what?",Arithmetic,Ambition,Algebra,Archery,uk,4
1149,Which TV series introduced the Daleks?,Dr Who,Star Trek,Blake's Seven,Thunderbirds,uk,4
1150,Which game mainly features in the films 'The Hustler' and 'The Color of Money'?,Pool,Scrabble,Darts,Tiddlywinks,uk,4
1151,What does a Manx cat not have that other cats do possess?,Tail,Whiskers,Claws,Eyes,uk,4
1152,What is Fred Flintstone's wife called?,Wilma,Norma,Brenda,Wanda,uk,4
1153,Which breed of dog is also a Canadian province?,Newfoundland,Spaniel,Dachshund,Chihuahua,uk,4
1154,Which of these is not a brass instrument?,Flute,Trumpet,Tuba,French horn,uk,4
1155,"According to the title of a Beatles song, how many days are there in a week?",Eight,Seven,Nine,Two,uk,4
1156,Whose choice means no choice at all?,Hobson's,Johnson's,Benson's,Thompson's,uk,4
1157,Which of the following is a Cajun dish with rice and shrimps?,Jambalaya,Jamboree,Jalopy,Japonica,uk,4
1158,"In a quote attributed to P T Barnum, one what is born every minute?",Sucker,Idiot,Fool,Moron,uk,4
1159,"In the nursery rhyme, which bells say 'oranges and lemons'?",St Clement's,Bow,St Martin's,Shoreditch,uk,4
1160,Which animal did Hannibal use to cross the Alps?,Elephant,Dog,Camel,Lion,uk,4
1161,Which of the following is a famous Greek dramatist?,Euripides,Ibrakides,Shetearides,Youdropides,uk,4
1162,In which US city were the headquarters of the Al Capone gang?,Chicago,Los Angeles,New York,Washington,uk,4
1163,"Complete the title of John Le Carré's novel, 'Tinker, Tailor, Soldier, ...'?",Spy,Rich man,Poor man,Sailor,uk,4
1164,Who was the sorceress in Arthurian romances?,Lady of the Lake,Lady of the Lamp,Lady of the Night,Lady of Leisure,uk,4
1165,Which is Britain's only native venomous snake?,Adder,Rattlesnake,Black mamba,Anaconda,uk,4
1166,Which street is terrorised by Freddy Krueger in a series of films?,Elm Street,Lime Street,Oak Street,Beech Street,uk,4
1167,Which is a hook-shaped peninsula in Massachusetts?,Cape Cod,Cape Haddock,Cape Herring,Cape Eel,uk,4
1168,What is the more common word for fisticuffs?,Boxing,Manacles,Cuff Links,Handcuffs,uk,4
1169,Which of the following is a mustard pickle?,Piccalilli,Piccadilly,Peccadillo,Piccolo,uk,4
1170,Which of the following is not a fortified wine?,Champagne,Port,Sherry,Madeira,uk,4
1171,Florence Nightingale was known as the 'Lady with the ...'?,Lamp,Torch,Match,Spotlight,uk,4
1172,How is dyspepsia more commonly known?,Indigestion,Dizziness,Headache,Earache,uk,4
1173,What was TV detective Kojak renowned for sucking?,Lollipops,His thumb,Mints,Fake cigar,uk,4
1174,In which country did flamenco dancing originate?,Spain,France,Italy,Greece,uk,4
1175,What is the small extra toe on a dog's foot called?,Dewclaw,Snowclaw,Hailclaw,Rainclaw,uk,4
1176,Who played Doloris van Cartier in the 'Sister Act' films?,Whoopi Goldberg,Bette Midler,Goldie Hawn,Kim Basinger,uk,4
1177,Which actor starred in the first two 'Home Alone' films?,Macaulay Culkin,Leonardo DiCaprio,Keanu Reeves,Wil Wheaton,uk,4
1178,'Never Tickle A Sleeping Dragon' is the motto of which fictional school?,Hogwarts,Witches Academy,Dotheboys Hall,Grange Hill,uk,4
1179,What term describes the lowest possible temperature?,Absolute zero,Complete zero,Total zero,Minimum zero,uk,4
1180,What name is given to the exterior front or face of a building?,Facade,Portico,Cloister,Entrance,uk,4
1181,What name is given to the vast gorge cut by the Colorado River in Arizona?,Grand Canyon,Samarian Gorge,Death Valley,Rift Valley,uk,4
1182,What term describes a vehicle travelling in neutral?,Coasting,Beaching,Drifting,Cruising,uk,4
1183,Which of the following words best describes Dean Martin and Frank Sinatra?,Crooners,Rockers,Mods,Punks,uk,4
1184,The shoreline of which sea is the lowest point on the Earth's surface?,Dead Sea,Mediterranean Sea,South China Sea,Caspian Sea,uk,4
1185,Which of these is not a play by Shakespeare?,The Summer's Tale,Romeo and Juliet,Hamlet,Twelfth Night,uk,4
1186,Which of these is not used to describe a musical note?,Unnatural,Natural,Sharp,Flat,uk,4
1187,Which chemist gave his name to a method of heat treatment for milk?,Pasteur,Fleming,Curie,Davy,uk,4
1188,Which department of a hospital assesses injuries before treatment?,Triage,Dressage,Collage,Massage,uk,4
1189,Which of the following is a castrated male horse?,Gelding,Stud,Yearling,Colt,uk,4
1190,Which of the following is not a medical condition or complaint?,Cronyism,Botulism,Aneurism,Astigmatism,uk,4
1191,Which of these stringed instruments is the lowest in pitch?,Double bass,Violin,Viola,Cello,uk,4
1192,Which 'year' begins on April 6th in the UK?,Tax,Astronomical,Geological,TV programming,uk,4
1193,The the most common type of which instrument has 3 drones and a chanter?,Bagpipes,Xylophone,Flute,Tambourine,uk,4
1194,What is said to have arrived when you can cover 5 daisies with your foot?,Spring,The Sun,Dawn,Surprise,uk,4
1195,What is the capital of Germany?,Berlin,Hamburg,Munich,Cologne,uk,4
1196,What is measured on the Richter scale?,Earthquakes,Wind speed,Air pressure,Temperature,uk,4
1197,Which leaves form the main diet of the koala?,Eucalyptus,Palm,Bamboo,Oak,uk,4
1198,What is indicated by the prefix 'deci'?,1 tenth,1 hundredth,1 thousandth,1 millionth,uk,4
1199,Which of these is a famous motor race in the USA?,Indy 500,Indy 5,Indy 50,Indy 5000,uk,4
1200,The name of which soft drink means 'water balance'?,Aqua Libra,Ame,Aqua Vitae,Fresca,uk,4
1201,Which country is not on the Arabian Peninsula?,Iran,Oman,Yemen,Saudi Arabia,uk,4
1202,What is the English name of the city known as Venezia in its own language?,Venice,Vienna,Verona,Valencia,uk,4
1203,From which animal is prosciutto obtained?,Pig,Cow,Lamb,Chicken,uk,4
1204,What colour is the cartoon cat Garfield?,Ginger,Black and white,Tortoiseshell,Grey,uk,4
1205,Which is not a recognized state of matter?,Crystal,Solid,Gas,Liquid,uk,4
1206,How many rings appear on the Olympic flag?,5,3,7,9,uk,4
1207,"What are the two days a year called, when the sun crosses the celestial equator?",Equinox,Equity,Equitable,Equipoise,uk,4
1208,By what name is an air cushion vehicle more commonly known?,Hovercraft,Balloon,Helicopter,Autogiro,uk,4
1209,How many legs does an arachnid have?,8,6,4,2,uk,4
1210,Which day of the week is named after the Norse God of Thunder?,Thursday,Tuesday,Friday,Wednesday,uk,4
1211,In which country were the Shogun famed military leaders?,Japan,India,Russia,South Africa,uk,4
1212,Which of the following is not one of Santa's reindeer?,Star,Dasher,Prancer,Cupid,uk,4
1213,To which class of animals do frogs and toads belong?,Amphibia,Mammalia,Reptilia,Aves,uk,4
1214,"In the traditional Australian song, who or what went 'waltzing'?",Matilda,Edna,Laura,Glenda,uk,5
1215,Which of the following would you find working in a casino?,Croupier,Usherette,Air stewardess,Fireman,uk,5
1216,Which of these is a stretch of water separating Denmark and Sweden?,Kattegat,Kittykat,Katgut,Katflap,uk,5
1217,Flat and National Hunt are types of a sport involving which animal?,Horse,Dog,Camel,Bear,uk,5
1218,Which of the following is a dance popular in the 1940s?,Hokey-cokey,Hanky-panky,Tinky-winky,Wibbly-wobbly,uk,5
1219,"Which nationality goes before 'auction', 'elm disease' and courage'?",Dutch,French,Spanish,Indian,uk,5
1220,Which MP maintains party discipline in the House of Commons?,Whip,Stick,Lash,Hand,uk,5
1221,Kissing which stone is said to bestow powers of persuasion?,Blarney,Rosetta,Pumice,Sharon,uk,5
1222,Which stretch of water separates Tasmania from mainland Australia?,Bass Strait,Heineken Strait,Carlsberg Strait,Guinness Strait,uk,5
1223,'Be Prepared' is the motto of which organisation?,Boy Scouts,Womens Institute,Royal Air Force,St John Ambulance,uk,5
1224,What is the name of the US president's retreat in Maryland?,Camp David,Bivouac Brenda,Canvas Charlie,Tent Thomas,uk,5
1225,"Which of these is a cheese, and also Britain's largest gorge?",Cheddar,Emmental,Gouda,Stilton,uk,5
1226,What are the names of the brothers in the pop group Oasis?,Noel and Liam,Jim and John,Dick and Dave,Kevin and Perry,uk,5
1227,Apart from being a dancer what was Mata Hari?,Spy,Comedian,Aviator,Magician,uk,5
1228,What is traditionally stored in a caddy?,Tea,Golf clubs,Beer,Fishing bait,uk,5
1229,By what title was the Indian nationalist Gandhi known?,Mahatma,Macoatma,Masocksma,Mavestma,uk,5
1230,Knave is another term for which playing card?,Jack,Ace,Queen,Joker,uk,5
1231,In which sport might one deliver a 'googly'?,Cricket,Ice hockey,Netball,Tennis,uk,5
1232,To whom is Jeeves butler in the books by P G Wodehouse?,Bertie Wooster,Sherlock Holmes,Lord Peter Wimsey,Raffles,uk,5
1233,Which of the following is not a Teletubby?,Hanky-Panky,Po,Dipsy,Laa-Laa,uk,5
1234,Which profession is synonymous with Harley Street?,Medicine,Journalism,Tailoring,Publishing,uk,5
1235,What is the name of the French national anthem?,Marseillaise,Polonaise,Lyonnaise,Dijonnaise,uk,5
1236,Which were British soldiers in North Africa during the WWII?,Desert Rats,Desert Camels,Desert Mice,Desert Eagles,uk,5
1237,Which of these is the US military academy in New York State?,West Point,North Point,South Point,East Point,uk,5
1238,Which of the following is a legendary Greek hero?,Ajax,Omo,Ariel,Persil,uk,5
1239,Who inspired the original version of 'Candle in the Wind'?,Marilyn Monroe,Brigitte Bardot,Isadora Duncan,Grace Kelly,uk,5
1240,On which of the following might you use an f-number?,Camera,Microwave,CD player,Washing machine,uk,5
1241,There are two Archbishops in the Church of England: Canterbury and ...?,York,Winchester,Durham,London,uk,5
1242,Which famous hotel created an equally famous salad in the 1890s?,Waldorf,Chelsea,Ritz,Hilton,uk,5
1243,Which island is synonymous with a multi-coloured geometric knitwear design?,Fair Isle,Isle of Man,Isle of Wight,Jersey,uk,5
1244,Which English naval hero lost his right eye and right arm in battle?,Nelson,Raleigh,Drake,Hardy,uk,5
1245,Which of the following materials is famously made in the Isle of Harris?,Tweed,Mohair,Nylon,Astrakhan,uk,5
1246,Which annual British arts prize was named after a painter?,Turner,Goya,Stubbs,Gainsborough,uk,5
1247,Which of these is a breed of spaniel?,King Charles,Queen Elizabeth,Prince William,Princess Diana,uk,5
1248,What name is given to a drama in which all or part of the dialogue is sung?,Opera,Oratorio,Cantata,Prologue,uk,5
1249,In which 1997 film did Demi Moore try to join the US Seals?,G I Jane,G I Jill,G I Janet,G I Jennifer,uk,5
1250,Which is not a South African city?,Lagos,Pretoria,Johannesburg,Cape Town,uk,5
1251,Where might you take a trip on the Maid of the Mist?,Niagara Falls,Snowdon,Grand Canyon,Disneyland,uk,5
1252,What is a hackette?,Female journalist,Taxi,Small axe,Pony,uk,5
1253,Thresher and basking are types of which fish?,Shark,Cod,Herring,Anchovy,uk,5
1254,Which river was so named by the Spanish because of its red colour?,Colorado,Amazon,Missouri,Boise,uk,5
1255,Which physical disability did the TV detective Columbo have?,One eye,One leg,One arm,One ear,uk,5
1256,What is the first name of the Queen of the Netherlands?,Beatrix,Bernice,Elizabeth,Anne,uk,5
1257,In the context of radio waves what is the 'U' in the abbreviation UHF?,Ultra,Upper,Under,Utter,uk,5
1258,What is a deficiency of haemoglobin in the blood called?,Anaemia,Amnesia,Alopecia,Anoxia,uk,5
1259,Which Latin word for 'field' is used to mean the grounds of a university?,Campus,Varsity,Alma,College,uk,5
1260,Karma Chameleon ' was a UK No.1 single for which band?,Culture Club,Culture Diamond,Culture Spade,Culture Heart,uk,5
1261,Which of these islands is a Canadian province?,Prince Edward,Prince Charles,Prince Andrew,Prince Philip,uk,5
1262,What are the playing pieces in a game of tiddlywinks called?,Winks,Tiddles,Counters,Disks,uk,5
1263,Which football club is nicknamed 'The Villans'?,Aston Villa,Leeds United,Millwall,Derby County,uk,5
1264,What is the singular form of the word 'bacteria'?,Bacterium,Bacterius,Bacterio,Bacteriae,uk,5
1265,Which sports retailing company was founded by Adolf Dassler?,Adidas,Nike,Lacoste,Reebok,uk,5
1266,What is the name of Frasier Crane's psychiatrist brother?,Niles,Miles,Giles,Piles,uk,5
1267,Which film features the song 'You're the One That I Want'?,Grease,Psycho,Platoon,Oliver!,uk,5
1268,The ocelot belongs to which family of animals?,Cats,Dogs,Birds,Goats,uk,5
1269,Which of these is a large flightless bird from South America?,Rhea,Mia,Greer,Leah,uk,5
1270,Which of the following spirits is distilled from sugar cane?,Rum,Vodka,Gin,Whisky,uk,5
1271,In which European country is the port of Antwerp?,Belgium,France,The Netherlands,Spain,uk,5
1272,What is indicated by the prefix 'mega'?,1 million,1 thousand,1 billion,10 billion,uk,5
1273,What name was given to the world's first cloned mammal?,Dolly,Sally,Polly,Tilly,uk,5
1274,"Which of the following was mined at Klondike, Canada?",Gold,Diamonds,Coal,Silver,uk,5
1275,Which of these is not a type of bee?,King,Queen,Drone,Worker,uk,5
1276,With which instrument are Amati and Stradivari chiefly associated?,Violin,Piano,Guitar,Clarinet,uk,5
1277,How many angry men are there in the title of the 1957 juryroom drama?,Twelve,Six,Ten,Thirteen,uk,5
1278,What broke out at Thomas Farriner's bakehouse in London in September 1666?,Great Fire,Plague,Gunpowder Plot,Peasant's Revolt,uk,5
1279,Which of the following is the American term for a rustic or country person?,Hayseed,Peppercorn,Barleymow,Corncrake,uk,5
1280,Which Simpsons' character shares his name with an historic European region?,Flanders,Wiggum,Chalmers,Skinner,uk,5
1281,Which is the capital of the Netherlands?,Amsterdam,Rotterdam,Utrecht,Maastricht,uk,5
1282,The Heimlich manoeuvre is used to prevent which of the following?,Choking,Nosebleed,Fainting,Hysteria,uk,5
1283,At what temperature does water boil on the Fahrenheit scale?,212 degrees, degrees,200 degrees,110 degrees,uk,5
1284,Of what is a shiitake a variety?,Mushroom,Fish,Martial art,Prayer,uk,5
1285,To which animals does the adjective lupine relate?,Wolves,Pigs,Goats,Coyotes,uk,5
1286,"What are ADA, COBOL and FORTRAN?",Computer languages,Crossword writers,Football teams,Mountains,uk,5
1287,What was Mussolini's first name?,Benito,Gianni,Benvolio,Stefano,uk,5
1288,What is the name of the computer in '2001: A Space Odyssey'?,HAL,PAL,CAL,SAL,uk,5
1289,Diamond and graphite are pure forms of which chemical element?,Carbon,Sodium,Sulphur,Potassium,uk,5
1290,For which of the following is a Nobel prize not awarded?,Psychology,Peace,Chemistry,Economics,uk,5
1291,What word is used as a measure of a star's brightness?,Magnitude,Multitude,Manifold,Majuscule,uk,5
1292,Which of these grows down from the roof of a cave?,Stalactite,Stalagmite,Malachite,Stylobate,uk,5
1293,Who is the proprieter of the bar in 'The Simpsons'?,Moe Szyslak,Ralph Wiggum,Ned Flanders,Lenny,uk,5
1294,"What part of speech are 'his', 'mine' and 'your'?",Pronoun,Adjective,Conjunction,Noun,uk,5
1295,Which of the following is not a Disney character?,Bugs Bunny,Donald Duck,Mickey Mouse,Pluto,uk,5
1296,Which South American capital city's name means 'fair winds' in Spanish?,Buenos Aires,Montevideo,Asunción,Caracas,uk,5
1297,How long is a trimester?,3 months,3 days,3 weeks,3 years,uk,5
1298,What number is denoted by the prefix 'dodeca'?,12,10,9,24,uk,5
1299,Which city's name is derived from the Greek meaning 'three towns'?,Tripoli,Tbilisi,Tehran,Tirana,uk,5
1300,Which of these is an international tennis tournament?,Davis Cup,Hendry Cup,O'Sullivan Cup,Higgins Cup,uk,6
1301,Which company runs the UK's national lottery - Lotto?,Camelot,Shangri-La,Avalon,Valhalla,uk,6
1302,Wings sang about the Mull of where?,Kintyre,Iggatawny,Doon,Iggan,uk,6
1303,What is the first name of former President Bill Clinton's daughter?,Chelsea,Charlton,Celtic,Crystal Palace,uk,6
1304,Which is not one of the Channel Islands?,Anglesey,Alderney,Guernsey,Jersey,uk,6
1305,Which district of west London hosts the largest street carnival in Europe?,Notting Hill,Islington,Fulham,Hammersmith,uk,6
1306,Which Greek island gives its name to a variety of lettuce?,Kos,Crete,Rhodes,Corfu,uk,6
1307,Which of these is a town in northern Scotland?,Wick,Candle,Flame,Tallow,uk,6
1308,What type of creature is Beatrix Potter's Mrs Tiggywinkle?,Hedgehog,Dormouse,Squirrel,Hen,uk,6
1309,What was the name of Buddy Holly's backing group?,The Crickets,The Beatles,Boomtown Rats,The Eagles,uk,6
1310,What is the name of the dysfunctional family in the US soap Dallas'?,Ewing,Baring,Sheeping,Weeping,uk,6
1311,"Which breed of dog can be Standard, Miniature or Toy?",Poodle,Labrador,German shepherd,Bearded collie,uk,6
1312,Who scored the so-called 'Hand of God' goal in the 1986 World Cup?,Diego Maradona,Oscar Ruggeri,Rudi Völler,Jürgen Klinsmann,uk,6
1313,In which English county is Dartmoor national park?,Devon,Wiltshire,Hampshire,Dorset,uk,6
1314,Which great river is nicknamed 'Old Man River'?,Mississippi,Nile,Amazon,Shannon,uk,6
1315,In which Italian city is the famous Trevi fountain?,Rome,Venice,Florence,Milan,uk,6
1316,What would you usually do with a curry-comb?,Groom a horse,Rake the lawn,Spice a dish,Prune a tree,uk,6
1317,Which politician was nicknamed Attila the Hen?,Margaret Thatcher,Barbara Castle,Shirley Williams,Betty Boothroyd,uk,6
1318,The name of which cheese means 'beautiful country'?,Bel Paese,Dolcelatte,Roquefort,Parmesan,uk,6
1319,What name is given to a cluster of bananas forming part of a bunch?,Hand,Brace,Foot,Splay,uk,6
1320,Which popstar/actress shares her name with a river in France?,Cher,Madonna,Kylie,Posh Spice,uk,6
1321,The job of an ostler is to look after what?,Horses,Gardens,Motor cars,Swimming pools,uk,6
1322,What name is given to the device which releases clay pigeons for shooting?,Trap,Snare,Noose,Net,uk,6
1323,To whom was the pop classic 'American Pie' a tribute?,Buddy Holly,Chuck Berry,Gene Vincent,Eddie Cochran,uk,6
1324,"What, in WWII, was a doodlebug?",Flying bomb,Submarine,Gas mask,Machine gun,uk,6
1325,Which musical is based on the life and death of the wife of General Juan Perón?,Evita,Annie,Gypsy,Down Argentine Way,uk,6
1326,In which country is the island of Java?,Indonesia,India,Thailand,Papua New Guinea,uk,6
1327,Which king granted the Magna Carta in 1215?,John,Richard I,Henry II,Edward I,uk,6
1328,What was Cape Canaveral called from 1963 to 1973?,Cape Kennedy,Cape Truman,Cape Eisenhower,Cape Roosevelt,uk,6
1329,"In the song by Paul Simon, how many ways are there to leave your lover?",Fifty,Ten,Hundred,Twenty,uk,6
1330,O'Hare International airport serves which city?,Chicago,Dublin,Melbourne,Toronto,uk,6
1331,What is the literal meaning of the term 'cordon bleu'?,Blue ribbon,Blue belt,First class,Rare steak,uk,6
1332,Which US president was given the posthumous nickname 'Jack the Zipper'?,John F Kennedy,Andrew Jackson,John Tyler,John Adams,uk,6
1333,The island of Corsica is part of which European country?,France,Italy,Spain,Portugal,uk,6
1334,On which continent is the world's longest river?,Africa,North America,Asia,South America,uk,6
1335,What type of competition is the 'Ironman'?,Triathlon,Weightlifting,Wrestling,Gymnastics,uk,6
1336,What is the capital of Pakistan?,Islamabad,Karachi,Lahore,Rawalpindi,uk,6
1337,What was the former name of Ho Chi Minh City?,Saigon,Bangkok,Hanoi,Rangoon,uk,6
1338,Trinity College is the popular name for which city's university?,Dublin,Edinburgh,Belfast,Cardiff,uk,6
1339,Who claimed in 1966 that '...we are more popular than Jesus now'?,John Lennon,Rod Stewart,Bob Dylan,Mick Jagger,uk,6
1340,"Egypt, Sudan and Eritrea all have shores on which sea?",Red Sea,Black Sea,Caspian Sea,Arabian Sea,uk,6
1341,"Rheumatoid, osteo and septic are the three main forms of which affliction?",Arthritis,Gout,Influenza,Goitre,uk,6
1342,What is the surname of the family in Louisa May Alcott's ' Little Women'?,March,June,May,April,uk,6
1343,What name is given to a geographical index?,Gazetteer,Almanac,Globe,Cartograph,uk,6
1344,"In the 'Jungle Books', what kind of animal is Shere Khan?",Tiger,Panther,Lion,Leopard,uk,6
1345,How is Cio-Cio-San known in the title of a Puccini opera?,Madame Butterfly,Turandot,Tosca,The Swallow,uk,6
1346,Which group of dogs takes its name from the Latin for 'earth'?,Terriers,Hounds,Dingos,Huskies,uk,6
1347,"What type of numbers are 'first', 'second', and 'third' ?",Ordinal,Cardinal,Prime,Perfect,uk,6
1348,"What, in the 1920s, was a 'flapper'?",Young woman,Dance,Musician,Feather boa,uk,6
1349,Which gas comprises over 70% of the Sun's mass?,Hydrogen,Nitrogen,Oxygen,Helium,uk,6
1350,By what common name is the crop 'Solarnum tuberosum' known?,Potato,Maize,Oats,Onion,uk,6
1351,What is the main ingredient of balsamic vinegar?,Grape juice,Cider,Malt,Rice,uk,6
1352,What was the Italian car designer Ferrari's first name?,Enzo,Rafelo,Marsilio,Stefano,uk,6
1353,Which epithet was applied to Napoleon Bonaparte?,Corsican,Sicilian,Sardinian,Italian,uk,6
1354,"Which island is famous for its more than 600 tall, stone statues in human form?",Easter Island,St Helena,Christmas Island,Mull,uk,6
1355,What type of animal is a 'burro'?,Donkey,Rabbit,Jackal,Wildebeest,uk,6
1356,Which of these drinks is distilled from the agave plant?,Tequila,Sambuca,Calvados,Sake,uk,6
1357,What would you expect to find in a book called a 'grimoire'?,Spells,Prayers,Recipes,Songs,uk,6
1358,"As used on the Internet, what does the 'M' stand for in the abbreviation H T M L?",Markup,Multilayer,Megabyte,Machine,uk,6
1359,Which of the following applies to a form of set theory in computing and logic?,Fuzzy,Woolly,Silky,Furry,uk,6
1360,Which of these is on the south coast of Cornwall?,The Lizard,The Reptile,The Crocodile,The Alligator,uk,7
1361,Which area is the title of a film starring Hugh Grant and Julia Roberts?,Notting Hill,Pimlico,Battersea,Kensington,uk,7
1362,What is the first name of Stan Laurel's comedy partner Hardy?,Oliver,Wilfred,Desmond,Peregrine,uk,7
1363,In which English county is Land's End?,Cornwall,Devon,Somerset,Wiltshire,uk,7
1364,"To a Scot, what is a Sassenach?",Englishman,Highland dance,Type of haggis,Mountain stream,uk,7
1365,"Complete the title of this novel by Louis de Bernières, 'Captain Corelli's ...'?",Mandolin,Cello,Harp,Piano,uk,7
1366,Who played the role of the bodyguard in the 1992 film of the same name?,Kevin Costner,Clint Eastwood,Danny DeVito,Rick Moranis,uk,7
1367,Where did Thunderbirds have their headquarters?,Tracey Island,Sharon Bay,Shirley Pier,Kylie Cove,uk,7
1368,In which 1995 film did Tom Hanks play Jim Lovell?,Apollo 13,Apollo 12,Apollo 14,Apollo 15,uk,7
1369,Which of the following is famous for his diary?,Samuel Pepys,Lionel Watchis,Lemuel Seas,Percival Spighs,uk,7
1370,What is the name of the famous English horse market?,Tattersalls,Billingsgate,Sotherby's,Smithfield,uk,7
